Title,Original,Generated
Hey Hey It's Esther Blueburger,Sometimes to fit in you need to stand out,Life is a journey.
Pina,"Dance, dance, otherwise we are lost.",The dance of the year
Outrageous Fortune,"The CIA is trailing them, the KGB is tracking them, the phone company is tracing them, the police are chasing them, the cowboys are herding them, and the Indians are hunting them.  Are they going to fall for all of that?”","A comedy about love, sex, and love at the same time."
Keanu,"Kitten, please.",It's not just a cat.
Decadence and Downfall: The Shah of Iran's Ultimate Party,"In 1971, the Shah of Iran, the self-proclaimed 'king of kings', celebrated 2,500 years of the Persian monarchy by throwing the greatest party in history.","Celebrate 2,000 Years of Persian Royalty"
The Brotherhood of Satan,A demon-spirit of madness and murder holds a California town in the grip of terror.,"They worship the devil, but they don't worship the children."
Life,From Rebel to Icon,James Dean and Dennis Stock are two very different people.
The Divide,The lucky ones died in the blast,The only thing keeping them together is each other.
The Legend of the Lone Ranger,"The untold story of the man behind the mask, and the legend behind the man.",The legend of the Lone Ranger is alive and well.
Zero Days,World War 3.0,It's not just a virus.
Carrie,Know her name. Fear her power.,Fear is a powerful force.
Les Misérables: 10th Anniversary Concert at the Royal Albert Hall,The Musical that Swept the World,The greatest musical performance of all time!
Liebestraum,"A story of lust, murder and dreams.",He's back to haunt you.
Despicable Me 3,Oh brother.,The story of a man who became a legend.
Patton,The Rebel Warrior,The true story of the man who fought the greatest war of all time.
Alex of Venice,Her life is just getting started. Again.,Sometimes you have to take care of your family.
Wuthering Heights,SINISTER SHADOWS & BURNING LOVE,The story of a boy and a boy's love.
Bang Bang Baby,"Once upon a time, there was a girl...",You can't make a dream come true.
The Phantom Tollbooth,It's an Alphabeautiful Mathemagical New Musical Movie!,"A tale of love, adventure and adventure."
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,"If You Don't See This Documentary, We'll Shoot This Dog",The story of the magazine that changed the world.
Class of 1984,Class of 1984. Is this the future?,It's not about the money.
Wings,"Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's",The love of a lifetime.
Avalanche,Six million tons of icy terror!,It's not just a vacation.
Killshot,He never met a target he couldn't take. Until today.,It's not just a crime.
An Education,An education isn't always by the book.,The story of the girl who changed her life forever.
"Go West, Young Lady",Rip-Roarin' Rhythm,It's not just a town.
Time Changer,What if you could see the future impact of your beliefs? One man will.,The future is about to change.
The Alphabet Killer,Based on a true story.,Sometimes the only way out is to kill.
The Thin Red Line,Every man fights his own war.,The true story of the men who changed the world.
Faith of Our Fathers,A story of fatherhood. A journey of brotherhood.,The story of two fathers.
Cenizas del Paraiso,"Three siblings, one woman, one destiny",The truth is stranger than you think.
Dancin' It's On,Dancin' Like You've Never Seen Before,It's not about the dance.
Area 407,The plane crash was just the beginning,Survival is the only way out.
Money Talks,This ain't no buddy movie.,Money talks
The World of Kanako,Say goodbye to reason.,There is no such thing as a saint.
The Daughter,It Takes An Outsider To See The Truth Inside.,"A story of love, loss, and redemption."
High Noon,The story of a man who was too proud to run.,The story of a man who risked everything to save the lives of his people.
One Day in September,"1972. The Munich Olympic Games. 121 Nations. 7,123 Competitors. Over a billion vieweres ... and 8 Palestinian Terrorists. For the first time in 25 years, the truth is revealed.",The true story of what happened in Munich.
Maudie,Triumph epitomizes adversity,A love story that will change your life forever.
"Two Days, One Night",A quest for self-improvement,It's not just a job.
The Gray Man,Obsessive manhunt to identify and capture a despicable serial killer,The story of a father and a son.
The Cottage,Sleeps Six Bloody Comfortably,It's not what you think.
The L-Shaped Room,Sex is not a forbidden word.,It's not just a room.
Chilly Scenes of Winter,A romantic comedy for all seasons.,He's a man.
Junior Bonner,"Steve McQueen going down his own road, tougher than ever, as ""Junior Bonner""",It's not about the money.
The FBI Story,"You are crouched in a basement stairway opposite a theatre in Chicago. Keep your eyes on that FBI man across the street. He has set the trap for deadly public enemy, John Dillinger...",The FBI is back.
Oliver Twist,A Compelling New Version of the Great Victorian Classic,The story of a boy who escaped from the worst orphanage in the world.
Tap Roots,When she lost her lover...her sister gained one!,The story of a man and a woman who fought for the right to exist.
Smokey and the Bandit Part 3,Smokey's Back! And The Bandit is at it again!,It's not a game.
Funny People,"George Simmons was prepared to die, but then a funny thing happened.",George Simmons is the funniest man alive.
Men in Black,Protecting the Earth from the scum of the universe.,The Man in Black is back.
Valley Girl,She's cool. He's hot. She's from the Valley. He's not.,"A comedy about friendship, friendship, and friendship."
The Girl Can't Help It,"BABY, IT'S THE GREATEST!",She's a star.
Puccini for Beginners,A love triangle of operatic proportions.,"A comedy about love, sex, and love."
Scatter My Ashes at Bergdorf's,"If fashion had a home, this would be the address.",The story of one of America's most iconic brands.
Phantom Lady,IT'S UNIQUE...suspense...mystery...drama!,She's a killer.
Catfight,A black and blue comedy,It's not about the money.
Happy Endings,All's well that ends swell.,"A story of love, betrayal, and redemption."
Hombre,Hombre means man... Paul Newman is Hombre!,It's a race against time to save the day.
Rolf,My price is death.,The last mercenary
Dhoom,One brave cop... one smart thief... one cool biker... together they create...  Dhoom,A Gang of Bikers Head by the Cool-Headed and Angry Kabir
Hostile Intentions,A night of adventure becomes one woman's desperate fight for survival.,You can't escape your past.
Deep Cover,There's a thin line between catching a criminal... and becoming one.,He's a cop.
Guardian,Fear for your life... Fight for your soul.,It's not just a drug.
Carol,Some people change your life forever.,The story of a woman who dreamed of a happier life.
The Barber of Siberia,He's Russian. That explains a lot.,"A story of love, adventure and adventure."
Private School,You won't believe what goes on and what comes off in... Private School,"A comedy about sex, love, and friendship."
Wolf Girl,Beauty is only skin deep.,"She's got the hair on her head, but she's also got the heart on her sleeve."
Elf: Buddy's Musical Christmas,Narrated by Santa Claus,The story of Santa Claus.
The Man Who Could Cheat Death,HIS HIDEOUS OBSESSION LED HIM TO COMMIT GHASTLY CRIMES OF PASSION AND VIOLENCE.,It's not going to be easy.
Ajnabee,Never trust a stranger.,It's not murder.
The Awakening,They thought they had buried her forever!,She's back.
The Swimmer,"When you talk about ""The Swimmer"" will you talk about yourself?",The story of a man who changed the course of his life.
Adrift,Marriage and temptation,A romantic comedy about love
"Sasquatch, the Legend of Bigfoot",The incredible story of seven men who defied death in a primitive wilderness where no man had gone before.... and survived to tell the shocking story of this legendary creature.,It's not just a monster.
They Call Me Macho Woman,"Born to shop, she learned to kill!",It's not about the money.
Thirteen Conversations About One Thing,Ask yourself if you're really happy.,A comedy about life and death.
Get Carter,The Truth Hurts,The story of a man who risked everything to save his brother.
Cut-Throats Nine,Violence Is Their Way of Life,They're back!
Nightmare,The Dream You Can't Escape ALIVE!,He's a killer.
Being Ginger,Documentary,You can't control your emotions.
Buffalo Bill,His adventure made him a hero.His showmanship made him a legend.,"A comedy about love, courage, and adventure."
Freaks of Nature,Get out undead or alive.,They're coming for you.
Tupac: Resurrection,In his own words,The story of a man who changed the face of music forever.
Ninja Scroll,"Feudal Japan - A Time of Danger, Intrigue and Deception...",The Ultimate Ninja
The Adjuster,Some people work in mysterious ways.,It's not about the money.
The Haunting of Whaley House,"Just because you don't believe in ghosts, doesn't mean they don't believe in you!",There's more than one way to die.
Rampage: President Down,This Bill will not be vetoed,He's back.
Three,Imagine the possibilities.,A love story that will change your life forever.
Alley Cats Strike,The Only Way To Settle The Score Is To Take It To The Alley!,It's not just a game.
House Party 4: Down to the Last Minute,Time to Raise the Roof!,It's not a party.
Thirst,Lusting after sinful pleasures.,Blood can kill.
Ten Tall Men,LUSTY! GUSTY! RARING TO GO!,The battle for the hearts and minds of the men and women of the United States of America!
Sherlock Holmes: A Game of Shadows,The game is afoot.,There's a new villain at large.
ChromeSkull: Laid to Rest 2,Evil Is Only Skin Deep,Hell hath no fury like a man of steel!
Origin: Spirits of the Past,"Together, we can face the future...",The future is about to be destroyed.
House of Usher,Many Arrive. Few Survive.,It's not just a house.
Dr. Alien,She has the cure for growing pain . . .,It's not what you think it is.
Tarzan Finds a Son!,Super Story of a Super Man ! The Titan of all Tarzans . . . Giant of all jungle thrills . . . worth the years it took to make !,The adventure begins.
Home of the Brave,Viola Liuzzo left Michigan to march for freedom... and met her destiny on a dark Alabama highway.,The story of Viola Luzzo
Black Rain,Their country. Their laws. Their game. His rules.,Two cops.
An American Rhapsody,"One family struggles for survival, for justice, for freedom.",The story of the Hungarian family.
The Mindscape of Alan Moore,A Psychedelic Journey Into One of The World's Most Powerful Minds.,Alan Moore's Mindscape
"Rock, Paper, Scissors",You can't deny and you know!,The game is on.
Biker Boyz,Survival of the fastest.,The story of a man who became a legend.
No Highway in the Sky,"EXCITEMENT and SUSPENSE 18,000 Feet Over the Atlantic!",It's not what you think it is.
Adam's Rib,Funniest Picture in 10 Years!,Sometimes you have to fight for what you believe in.
My Best Friend,It takes a lifetime to learn the meaning of friendship... François has 10 days.,"A comedy about love, friendship, and the unexpected."
The Ballad of Ramblin' Jack,After Woody Guthrie and before Bob Dylan came Ramblin' Jack Elliott.,The story of a man who risked everything to become a legend.
Mommy,"- ""We still love each other, right?"" - ""That's we're best at, buddy.""",Sometimes the only way out is to stay alive.
Legend of the Lost,Wayne Tangles with Loren...In the Adventure that's Hotter than 1000 Suns!,The adventure of a lifetime.
Second Honeymoon,Love is better the second time around.,"A comedy about life, love, and sex."
Coffy,The Baddest One-Chick Hit-Squad that ever hit town!,Vengeance is the only weapon she has.
Attack Force Z,Mel Gibson blasting his way to hell and back,The true story of a man who risked everything to save his country.
Merry Ex-Mas,"This holiday, they're fighting for love.",It's not love at first sight.
The Wolfman,When the moon is full the legend comes to life,It's not just a movie.
FAQs,From the director of Natual History of Parking Lots and Luster,Love is a weapon
The Amityville Asylum,Kill them. Kill them all.,There is no such thing as a normal night shift.
Innocent Bystanders,In this business there are no Innocent Bystanders,He's got it all.
Adam Green's Aladdin,Are you interested in music?,He's the king of the video game world.
Butcher Boys,You are what you eat,The Bone Boys are back.
Portrait in Black,They touched...and an evil spark was struck!,They're back!
Battleship Potemkin,"Revolution is the only lawful, equal, effectual war. It was in Russia that this war was declared and begu",The story of the Russian Naval Mutiny
Sully,The Untold Story Behind the Miracle on the Hudson.,The story of a man who risked his life to save the world.
Barry Lyndon,At long last Redmond Barry became a gentleman - and that was his tragedy.,The greatest adventure of all time!
Best Worst Movie,The Story Behind The Worst Movie Ever Made - Troll 2,The story of a man who made a film that became a cult classic.
Midnight Lace,Even with the arms of her love around her...she still felt the menace of that voice in the night!,It's not murder.
Antitrust,Truth can be dangerous...Trust can be deadly.,IT'S YOUR NIGHTMARES!
Annapolis,"50,000 Apply. 1,200 Are Accepted. Only The Best Survive",Jake is back.
Jewel Robbery,He stole her jewels -- but that wasn't all!,He's a thief.
The Bad Man,His Great New 1941 Thrill Drama!,She's back.
Chinese Zodiac,"His mission is to recover their heads, before they take his",The greatest adventure of all time!
The Architect,A couple hire a maverick architect,The dream house is the dream house.
Beneath Hill 60,BENEATH HILL 60 featuring Captain Woodward MC commanding the Australian Hill 60 Tunnelers of World War 1,The story of a secret war between two worlds.
Legendary Assassin,Every Move Kills,The only way out is to kill him.
Nine 1/2 Weeks,They Broke Every Rule,"A story about love, sex, and impersonal love."
Manderlay,Liberation. Whether They Want It Or Not.,The story of a woman who risked everything to save her family.
Battle Hymn,"The true story of Col. Dean Hess, clergyman turned fighter pilot!",The story of a man who risked everything to save the lives of orphans.
The H-Man,ALL H- BREAKS LOOSE!,It's not a movie.
The Comic,A funny new motion picture that tells Hollywood like it was!,He was the greatest silent film star of all time.
Wish You Were Here,Some people march to the beat of a different drummer. Lynda’s got her own brass band.,"A story of love, lust, and desire."
Forever Fever,A romantic comedy with twists and turns.,Kung fu meets disco
Davy Crockett and the River Pirates,THRILLING ADVENTURES...frontier giants join forces to challenge the might of the River Raiders.,The story of a man who risked everything to win the love of his life.
Bandolero!,"There are ""Westerns"" and ""Westerns"". Every now and then comes a NEW kind of Western. This is ""BANDOLERO!"".",It's not a game.
Twice-Told Tales,A trio of terror!,The story of a father and a mother.
Rurouni Kenshin,The Journey Begins,The story of a man who fought to save his family.
Woman on Top,Want to know how she got there?,A love story about a woman on top.
Vatel,Some men are too noble to live among aristocracy.,Three days in the life of Louis XIV.
How To Change The World,The Revolution Will Not Be Organized,The story of how to change the world.
A Hard Day's Night,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A hard day's night
The Giant King,We were born to be friends.,The story of the world's greatest robot.
Dark Was the Night,Evil's Roots Run Deep,Evil is coming to town.
Strange Brew,Something funny is brewing at Elsinore Castle...,It's not just a hockey game.
Thor: Tales of Asgard,Before the hammer ... came the sword,The greatest adventure of all time.
Enemy Mine,Enemies because they were taught to be. Survivors because they had to be.,The story of a man and a woman.
A Perfect Candidate,"In the Voting Booth, No One Can Hear You Scream",The story of one man's quest to win a Senate seat.
The Four Feathers,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.","A story of cowardice, cowardice and cowardice"
The Lady in the Van,A mostly true story,"A story of love, loss, and redemption."
Halloween: Resurrection,Evil finds its way home,He's back!
The Shootist,He's got to face a gunfight once more to live up to his legend once more. To win just one more time.,He's Back
Population Zero,The only thing more shocking than the crime itself are the bizarre events that followed.,The truth is stranger than fiction.
The Maze Runner,Run - Remember - Survive,It's not just a maze.
Johnny English Reborn,One man. One mission. No chance.,No one is above the law.
Breakfast on Pluto,Same world. Different planet.,"When you're a boy, you can't be a girl."
Tough Enough,They are big! They are bad! But are they tough enough to beat the Country Western Warrior?,He's a tough guy.
Summer School,The movie your parents will hate.,She's the hottest girl in school.
Hot Tub Time Machine,Kick some past,You can't change the past.
TekWar,Virtual Reality Can Be Murder,He's back.
House Arrest,There's More Than One Way To Keep A Marriage Together...,You can't divorce your parents.
The Desert Rats,They crawled their way across the blazing sands of Africa... to turn disaster into victory!,The greatest adventure of all time!
Golden Gate,"Some loves are meant to be. This one, not so much.",He's a cop.
The Campaign,May The Best Loser Win.,It's a race to the bottom.
The Anniversary,The legendary actress as the most merciless mother of them all,Every family has a secret.
Rage,The past never stays dead,Revenge is the only way out.
Miss Conception,She's seeking Mr. Right now,Life is a journey.
The Mysterious Lady,GRETA GARBO AND CONRAD NAGEL The Screen's Newest Discovery of Perfect Young Lovers,She's a spy.
CHiPS,Chip Happens,They're the toughest guys in the business.
A Good Year,Everything matures... eventually.,Max Skinner is back for more!
The Ouija Experiment 2: Theatre of Death,Hell will be unleashed,It's not what you think.
Animal Crackers,The maddest comics of them all!,The greatest adventure of all time!
Wedding Day,Not every wedding ends in a bouquet toss...,Two men.
The Devil Thumbs a Ride,He'll kill until he dies!,He's not just a killer...
Jimmy's Hall,Where Anything Goes and Everyone Belongs.,The story of a man who risked everything to fight for the rights of the Irish people.
Get Over It,"Young, Free And Single. Again.",A comedy about falling for someone you love.
Private Romeo,Love goes toward love as schoolboys from their books,The story of a boy and a girl who are destined to become one.
The Glass Key,The Tougher They Are - The Harder They Fall,The story of a man who risked everything to win the right to vote.
The Incident,Small Town,The story of Harmon Cobb
12 Rounds 3: Lockdown,Twelve Rounds In the Clip. One Shot at Redemption.,No one is above the law.
Earthfall,The World will Never be the same.,It's not what you think it is.
Waxwork,Stop on by and give afterlife a try.,The most evil movie ever made!
Children of the Corn: Revelation,"The All-New, Terror-Filled Chapter!",You can't escape your past.
Naked Souls,She's about to bare her soul... and all that goes with it.,The story of Edward Bloom
The Reunion,Last Chance. Long Odds.,Two brothers.
Collaborator,Can't we all just get along?,"A comedy about love, marriage, and the law."
DragonHeart,You will believe.,The legend of the dragon is alive and well.
AWOL-72,72 Hours On The Clock. Starting Now...,The most dangerous manhunt in the history of the world.
Nature Unleashed: Volcano,Violence Beyond Escape,A story of love and death.
Dum Laga Ke Haisha,A marriage is arranged between a slim guy and an over-weight girl.,A comedy about love and marriage
Barbie: Fairytopia,Discover A Magical New Land,A fairy tale that will change your life forever.
When a Man Loves a Woman,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.,It's not what you think it is.
Hot Pursuit,Armed and Sort-of Dangerous.,A cop with a gun.
12 Days of Christmas Eve,He's got twelve chances to get Christmas right.,The perfect Christmas Eve
Salute,The story behind the image,The story of one man's fight for justice.
Generation Iron 2,Is there a limit?,The Ultimate Bodybuilding Monster
The Private Life of Henry VIII,"HE GAVE HIS WIVES A PAIN IN THE NECK And did his necking with an axe. Henry, the Eighth Wonder of the World! And this picture...the wonder of all time!",The story of King Laughton
Banksy Does New York,The street is at play.,The world’s greatest street artist
Erasing David,He has nothing to hide but does he have nothing to fear?,No one is above the law.
Poodle Springs,Sex. Murder. Marlowe. This town has everything.,It's not just a desert.
Severe Clear,Uncertainty...Chaos...Disorder. This is war.,The war on terror is over.
Genius,"To fit in, genius Charlie Boyle added another side to himself",A double life.
The Haunting,You may not believe in ghosts but you cannot deny terror,It's not just a house.
The Doctor and the Devils,It's murder shopping for Dr. Rock,It's not just a crime.
3:10 to Yuma,Time waits for one man.,The story of a man who risked everything to save the lives of his people.
Ready to Rumble,They're headed to the big time...face first.,It's not about the money.
From the Terrace,You can't buy respectability by putting a wedding ring on it!,The story of a man who fell in love with a woman who fell for him.
Let's Make Love,MARILYN MONROE and YVES MONTAND the French entertainment sensation! Doing what they do best in LET'S MAKE LOVE!,The funniest comedy of the year!
The Adventures of Ford Fairlane,Kojak. Columbo. Dirty Harry. Wimps.,He's got a lot on his mind.
Bend It Like Beckham,"Sometimes, to follow your dreams... you've got to bend the rules!",It's not about the money.
Restless,Who do you live for?,Life is a journey.
H6: Diary of a Serial Killer,"Come in, don't be afraid...",A serial killer.
The Boogens,Some Things Shouldn't Be Disturbed...,Evil lurks beneath the earth.
The Belly of an Architect,Art is the food for madness.,The story of a man who made the world a better place.
The Mine,A story worth a half billion euros.,The story of a man who made a mistake.
Revenge of the Pink Panther,Just when you thought it was safe to go back to the movies...,The most dangerous man in the world is back.
The Grapes of Death,"When the wine flows, the terror begins…",They're coming for you.
The Devil Is a Woman,Kiss me .. and I'll break your heart!,"A comedy about love, sex, love, love"
And Now a Word from Our Sponsor,It's all a matter of perspective.,It's not a dream.
The Human Condition II: Road to Eternity,First Sequel of an Anti-War Masterpiece,The story of Kaji
Spencer's Mountain,"Clayboy's schoolteacher impresses upon Clayboy the following phrase, ""The world steps aside to let a man pass, if he knows where he is going""",He's going to college.
The Bastard,Brother or enemy - no mercy was given!,Revenge is the only way out.
Spotlight,Break the story. Break the silence.,The story of a scandal that rocked the Catholic Church.
Squeeze,Only the strong survive these streets.,It's not about the money.
The Walking Dead,HE DIED a man with a hunger to love... and returned a monster with an instinct to kill.,It's not murder.
Pride & Prejudice,A romance ahead of its time.,A comedy about love and family.
Hairspray,The world was in a mess... but their hair was perfect!!,It's a race to the bottom.
Tooken,Your franchise is about to be taken.,It's not about the money.
Fast Five,Get the Fifth Gear.,They're back.
Hellions,"This Halloween, Hell Comes Knocking",It's not what you think it is.
November,"Shut down the theaters, the performance has hit the streets!",It's not about the stage.
Nightmare City,The Nightmare Becomes Reality,They're coming for you.
For Love or Money,He thought there was nothing as seductive as money. He was wrong.,Doug Ireland is back in business.
The Institute,Is it a cult? Is it a game? Or is it a life-changing adventure...,It's not just a game.
Knight and Day,Every Hit Man Deserves a Second Shot!,It's not what you think it is.
Confessions of a Dangerous Mind,Some things are better left top secret.,"He was a spy, he was a killer."
The Fighter,Every dream deserves a fighting chance.,The story of one man's journey to the light heavyweight title.
Growing Up and Other Lies,One big island. One absurdly long walk.,It's not going to be easy.
Northwest Passage,Half Men - Half Demons . . . Warriors Such As The World Has Never Known . . . They Lived With Death and Danger For The Women Who Hungered For Their Love !,The greatest battle of all time!
End of the Game,"""I could murder her in front of your eyes and you couldn't prove it,"" said the master criminal to the master detective. And so the game began...",The story of one man's search for the truth.
Albino Farm,The legend is real...,They're coming for you.
Supremacy,No One Is Save,It's not just a cop.
Dreamland,They Know Who You Are...,The story of a man who changed the face of the world.
Just Married,Welcome to the honeymoon from hell.,"A romantic comedy about love, marriage and honeymooning."
Russian Ark,"2000 cast members, 3 orchestras, 33 rooms, 300 years, ALL IN ONE TAKE",It's not just a room.
Thunder Soul,He gave them everything. Now it's time to give back.,The story of one of the greatest bands of all time.
Melvin and Howard,"Poor Melvin. All he wanted was to be Milkman of the Month. Instead, he lost his job, his truck, and his wife. Then Howard Hughes left him $156,000,000.",A story of a man who won't give up.
Massacre Canyon,THUNDERING Out Of The Reservation! THE LAST ATTACK OF THE APACHE NATION!,They're back!
Martyrs,They did not finish to be alive...,Revenge is the only way out.
Mr. & Mrs. Smith,Lombard and Montgomery Get Hitched As They're Getting Unhitched !,It's not a wedding.
Pawn Sacrifice,On the board he fought the Cold War. In his mind he fought his madness.,The greatest chess match of all time!
To Write Love on Her Arms,Based on the True Story that started a Global Movement.,"A story of love, loss and redemption."
From Bedrooms to Billions,A Scientific Curiosity That Sparked a Revolution,The Story of the UK Video Game Industry
Restitution,Revenge Has No Limits,A True Crime Writer Investigates a Small Town Murder spree Uncovers The Truth That Changes The Town Forever.
Manos: The Hands of Fate,It's Shocking! It's Beyond Your Imagination!,The Devil is back!
Brain Dead,You have nothing to lose... except your mind.,It's not just a movie.
Rooster Cogburn,"The man of ""True Grit"" is back and look who's got him!",John Wayne is back!
Copper Canyon,The story of the Old West's valley of violence!,"A comedy about a group of miners, a Southern veteran, and a gambler."
"Hey, Boo: Harper Lee & To Kill a Mockingbird",The untold story behind a great American novel,The story of a woman who wrote a novel that became a bestseller.
Atragon,Ride the JUGGERNAUT of destruction from the depths of the Seven Seas to the Outer Limits of Space!,The greatest battle of all time.
Venom,He never hurt a soul until the day he died.,It's not just a movie.
"Davy Crockett, King of the Wild Frontier",NOW...on the MOTION PICTURE SCREEN!,The story of a man who risked everything to win the right to vote.
Up in Smoke,The movie that'll have you rolling in the aisles.,It's not about the money.
11/11/11,This day will be our last,He's coming for you.
Where Sleeping Dogs Lie,A writer searching for the dead is about to uncover the killer.,It's not just a house.
The Miracle of Morgan’s Creek,"The True Story of TRUDY KOCKENLOCKER, who kissed the Boys Goodbye... REGIMENT BY REGIMENT!",She's back.
White Tiger,Revenge Has No Limits,The story of a man who risked everything to save his son's life.
The War Game,BBC TV's film about a nuclear attack on Britain directed by Peter Watkins.,The story of the first nuclear war.
McLintock!,Never such a tender love story! Never such a savage showdown! Never such restless natives!,The story of a man who risked everything to save his daughter.
P.S. I Love You,"His life ended. Now, a new one will begin.",A new love story.
A Hill in Korea,And They Blended That Courage and Their Cowardice to Fight an Enemy for 72 Nightmare Hours!,They fought for freedom.
Them,They're already inside,It's not a dream.
Ninja 1,The Film that made Ninjas legendary!,The true story of the greatest ninja of all time.
Cat People,They are something more than lovers who are about to become something less than human.,It's not just a story about love.
Avenger,No peace without justice...,The story of a man who risked everything to save his daughter's life.
Night Game,Sometimes the only thing more dangerous than hunting down a murderer is... finding him!,It's not just a game.
School for Scoundrels,Life's A Game. Learn How To Play.,It's not about winning.
Firefox,...the most devastating killing machine ever built... his job... steal it!,The world's most dangerous fighter is back!
Park Row,Street of rogues... reporters... and romance!,The story of a man who dared to expose the corruption of the press.
Bianca Beauchamp: All Access,The most fun you can get at a fetish event without actually having to dress up!,"It's not what you see, it's what you feel."
Ek Thi Daayan,Everything comes full circle.,A supernatural musical
The Thief of Bagdad,GIGANTIC! The Wonder Picture of All Time!,The greatest adventure of all time!
Undefeatable,"Out of the ring, into the fire... in a fight to the finish",The story of a girl who became a killer.
The Caine Mutiny,As big as the ocean!,The most dangerous man on the planet is back!
Neo Tokyo,Manie-Manie,The Running Man
How to Rob a Bank,...and 10 easy tips to get away with it.,It's not just a robbery.
Bill,London is not going to know what hit it!,Shakespeare's Lost Years
Stage Beauty,She was the first of her kind. He was the last of his.,The story of a woman who became a star.
The Pickle,He's caught in a pickle and everyone is watching!,It's not just a movie.
A Girl in Every Port,"You'll Like This One!---It's a rollicking, jolly, happy picture---a laugh all the way.",Two men.
Four Horsemen,We Will Never Return to Business as Usual,How do you survive the apocalypse?
White Lion,Home is a Journey,The story of a boy and a lion.
The Double Man,The key man to the most daring plot ever concocted by the secret agents of two worlds!,The Cold War is about to end.
Titanic,Nothing on Earth could come between them.,Titanic 101
Detour,He went searching for love... but Fate forced a DETOUR to Revelry... Violence... Mystery!,The story of a man whose life was turned upside down.
The Happy Ending,Marriage is a 30 billion dollar business! And that's just to get married.,The story of Mary Wilson
Brothers in Arms,A revisionist western,The story of a man who changed the face of the earth.
Ira & Abby,"First comes love, then comes marriage, then comes therapy.",Love is a gift from God.
Kiss and Make-Up,...a racy romance of a famous beauty doctor.,He made her beautiful.
Strange Wilderness,This ain't March of the Penguins.,It's not just a movie.
Wilson,"DRAMA AND SPECTACLE UNPARALLELED! ENTERTAINMENT UNDREAMED OF! 12,000 PLAYERS! 200 MIGHTY SCENES! TOLD TO THE TUNE OF 87 BELOVED SONGS!",The story of the man who changed the face of the world.
Fittest On Earth: A Decade Of Fitness,Fittest On Earth: A Decade Of Fitness,Every second counts.
Antz,Every ant has his day.,A comedy about love and war.
Bulletproof Monk,A power beyond measure requires a protector without equal.,The Ultimate is the Ultimate
Brainstorm,...The Ultimate Experience,Death is the only way out.
Just Peck,In suburbia no one can hear you scream.,It's not what you think it is.
Neerja,Fear Gave Her Courage,The story of a woman who risked everything to save her family.
The Stupids,As American as apple pie and twice as smart.,It's not what you think.
Las Plantas,Do you think plants could have souls?  That we might even be able to talk to  them?,"A story of love, sex, and dreams."
The Puppet Syndrome,The story of an all-consuming passion between a creator and his creation.,A story of love and death.
Hope,We won't let her shed tears again,It's not what you think it is.
Extraterrestrial,They do not come in peace.,They're coming.
Sea of Love,Deception is dangerous. Desire is deadly.,There's no such thing as too much detective work.
Feast III: The Happy Finish,They're Not Leaving Till They Get Dessert,They're Back!
Hollywood Without Make-Up,A collection of behind the scenes and home movies from the golden age of Hollywood.,The man who made movies of people who make movies.
Proteus,"In the middle of the ocean, a new form of horror is taking shape.",It's not just a movie.
"Master, a Building in Copacabana",A film about people like you and me,The story of an apartment building
PressPausePlay,"A Film about hope, fear and digital culture",The Digital Revolution of the Last 10 Years Has Unleashed Creativity and Talent
Crazy,Everyone wanted him. No one could control him.,A legend.
Spy Hard,All the action. All the women. Half the intelligence.,The world is about to be destroyed.
Rock 'n' Roll High School,Will your school be NEXT?,Rock 'n' roll is back
Pelé: Birth of a Legend,A boy with nothing who changed everything.,The Life Story of Brazilian Football Legend
Gremlins 2: The New Batch,Here they grow again.,They're coming for you.
B.F.'s Daughter,From the Best-Selling Book !,The story of a man and a woman who met and fell in love.
Amityville: The Awakening,Every house has a history. This one has a legend.,It's not just a house.
Wyoming Renegades,No man's life or wife or land is safe - till the women of Broken Bow line up with their men and start shooting!,The story of a man who risked everything to get out of prison.
The Red Badge of Courage,Stephen Crane's Great American Story of the Civil War,The story of a man who risked everything to fight for the cause he believed in.
The Razor's Edge,The story of one man's search for himself.,One man's journey to enlightenment
Cosmos Laundromat,Any life you ever wanted!,The adventure begins.
Dying of Laughter,El pueblo los adoraba. Ellos se odiaban. Esta es su historia,"A comedy about love, fame and comedy."
Trespass Against Us,Blood is a brutal bond.,The story of three generations of outlaws
The Amazing Transparent Man,Invisible and Deadly!,The secret of invisibility is in the formula.
Buchanan Rides Alone,DOUBLE HANGING -- DOUBLE THRILLS!,The story of a family.
Hitched for the Holidays,christmas romance,They're not alone.
Going in Style,"Whether they win or lose, they'll be ""Going in Style""",It's not about the money.
The Keeping Room,Some things are worth fighting for.,The story of a woman who risked everything to save her sister's life.
Betsy's Wedding,The wedding picture doesn't always tell the real story.,The wedding of a lifetime.
I Like to Hurt People,"Kick people, stomp people, crush people. It's disgustingly real.",A documentary on the Detroit Professional Wrestling Scene
Office Space,Work sucks.,It's not about the money.
Hisss,She's sexy... venomous... and she'll swallow you whole...,A woman who can take on man form.
Home Alone: The Holiday Heist,Hit the jump for more,It's not just a house.
